gamma_n(1200)=0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0349261, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0349261, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0316016, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0349261, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0316016, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0287446, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0349261, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0316016, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0287446, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0262701, gamma_n(t-r,j)=0 h_n= 0
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.8 h_n= 0.8
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.32 h_n= 1.12
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.12
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.0853333 h_n= 1.20533
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.20533
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.20533
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.0170667 h_n= 1.2224
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.2224
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.2224
 t= 0.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.2224
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.00273067 h_n= 1.22513
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.22513
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.22513
 t= 0.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.22513
 t= 0.8,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 1.22513
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.000364089 h_n= 1.22549
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.22549
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.22549
 t= 0.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.22549
 t= 0.8,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 1.22549
 t= 0.8,  beta_n(j,r,a,t)=0.0349261, gamma_n(t-r,j)=0 h_n= 1.22549
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=4.16102e-05 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0388282, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0349261, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0316016, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=4.16102e-06 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.22554
 t= 0.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.22554
