gamma_n(1200)=0
 t= 1.6,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 1.99216
 t= 2.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 2.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0.18 h_n= 0.18
 t= 2.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.74 h_n= 0.405363
 t= 2.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0.538667 h_n= 0.944029
 t= 2.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.414667 h_n= 1.07031
 t= 2.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.0106667 h_n= 1.07175
 t= 2.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0.592733 h_n= 1.66448
 t= 2.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.154733 h_n= 1.7116
 t= 2.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.00106667 h_n= 1.71175
 t= 2.4,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 1.71175
 t= 3.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 3.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 3.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.32 h_n= 0.0974542
 t= 3.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0.0853333 h_n= 0.182788
 t= 3.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.630667 h_n= 0.374853
 t= 3.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.282667 h_n= 0.412815
 t= 3.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0.352067 h_n= 0.764882
 t= 3.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.544733 h_n= 0.930777
 t= 3.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.0860667 h_n= 0.942336
 t= 3.2,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=6.66667e-05 h_n= 0.942341
 t= 4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.166667 h_n= 0.0507574
 t= 4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.666667 h_n= 0.140289
 t= 4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0.0416667 h_n= 0.181956
 t= 4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.458333 h_n= 0.321539
 t= 4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.458333 h_n= 0.383092
 t= 4,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0.0416667 h_n= 0.386149
 t= 4.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 4.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 4.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 4.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
